hidden_dim,expansion_ratio,dropout,val_loss
24,8,0.0,0.00042057130506352393
24,8,0.1,0.01576281111515224
24,8,0.2,0.0153707370123911
24,16,0.0,0.011943368928270928
24,16,0.1,0.009325074868806977
24,16,0.2,0.011609313716939386
24,32,0.0,0.012512036225358915
24,32,0.1,0.013092888233600325
24,32,0.2,0.013972725293936835
24,64,0.0,0.01566764068934867
24,64,0.1,0.020655285093945243
24,64,0.2,0.017262822626035085
48,8,0.0,0.018414952299026083
48,8,0.1,0.013023160591673088
48,8,0.2,0.010994580659027161
48,16,0.0,0.009624375023315047
48,16,0.1,0.02067083704433347
48,16,0.2,0.01341025585407413
48,32,0.0,0.011831965319393062
48,32,0.1,0.012432953610492863
48,32,0.2,0.019371314674086093
48,64,0.0,0.01625070033757726
48,64,0.1,0.019869574346302807
48,64,0.2,0.01733217374910851
96,8,0.0,0.00015601978811273992
96,8,0.1,0.016780271869912065
96,8,0.2,0.006573676838481581
96,16,0.0,0.012010048748186687
96,16,0.1,0.008638581621213953
96,16,0.2,0.011864690278816516
96,32,0.0,0.01359161405473513
96,32,0.1,0.013216788556945544
96,32,0.2,0.01940656924616844
96,64,0.0,0.015481569383044501
96,64,0.1,0.01670587546453307
96,64,0.2,0.019117569328820767
